City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,295.26,53,52,2.98,ZA,1707550742
1,vibo valentia,38.6996,16.1274,282.48,52,100,2.71,IT,1707550742
2,waitangi,-43.9535,-176.5597,289.72,81,68,4.47,NZ,1707550743
3,port alfred,-33.5906,26.891,296.58,69,1,3.58,ZA,1707550743
4,adamstown,-25.066,-130.1015,298.04,93,100,13.42,PN,1707550743
5,nemuro,43.3236,145.575,269.9,75,100,3.02,JP,1707550743
6,avarua,-21.2078,-159.775,300.18,83,40,6.17,CK,1707550743
7,as sulayyil,20.4607,45.5779,292.29,29,0,8.04,SA,1707550743
8,kill devil hills,36.0307,-75.676,285.36,90,40,1.54,US,1707550744
9,albany,42.6001,-73.9662,280.38,82,100,1.56,US,1707550744
10,blackmans bay,-43.0167,147.3167,290.22,61,0,2.45,AU,1707550744
11,bilibino,68.0546,166.4372,238.69,99,67,1.42,RU,1707550744
12,codrington,-38.2667,141.9667,292.14,66,0,4.65,AU,1707550744
13,port lincoln,-34.7333,135.8667,296.72,47,29,5.91,AU,1707550744
14,college,64.8569,-147.8028,262.29,77,40,0.0,US,1707550744
15,papatowai,-46.5619,169.4708,281.92,79,100,8.08,NZ,1707550745
16,edinburgh of the seven seas,-37.0676,-12.3116,292.42,97,100,10.43,SH,1707550745
17,whitehorse,60.7161,-135.0538,266.58,86,20,10.29,CA,1707550745
18,sandersdorf,51.6333,12.2667,283.32,87,100,2.52,DE,1707550745
19,acarau,-2.8856,-40.12,298.69,89,100,4.3,BR,1707550745
20,kidal,18.4411,1.4078,294.69,9,0,1.75,ML,1707550745
21,punta arenas,-53.15,-70.9167,282.21,76,0,4.63,CL,1707550746
22,colares,38.7992,-9.4469,285.87,86,20,9.83,PT,1707550746
23,basco,20.4487,121.9702,295.35,76,67,7.64,PH,1707550746
24,puerto natales,-51.7236,-72.4875,280.97,96,47,1.61,CL,1707550746
25,nadi,-17.8,177.4167,301.15,89,75,1.54,FJ,1707550746
26,port-aux-francais,-49.35,70.2167,281.21,99,100,9.31,TF,1707550746
27,susuman,62.7833,148.1667,238.93,100,97,0.45,RU,1707550746
28,hamilton,39.1834,-84.5333,287.47,89,75,5.14,US,1707550689
29,bethel,41.3712,-73.414,279.61,90,0,0.0,US,1707550747
30,alice springs,-23.7,133.8833,309.9,23,100,7.2,AU,1707550747
31,chimoio,-19.1164,33.4833,299.07,69,40,1.29,MZ,1707550747
32,suwayr,30.1171,40.3893,286.67,31,100,5.68,SA,1707550747
33,atbasar,51.8,68.3333,259.3,88,8,6.92,KZ,1707550747
34,ola,59.5833,151.2833,248.0,88,74,2.86,RU,1707550747
35,talnakh,69.4865,88.3972,248.16,79,14,2.05,RU,1707550747
36,ushuaia,-54.8,-68.3,280.96,87,0,1.03,AR,1707550748
37,coquimbo,-29.9533,-71.3436,291.0,94,0,0.51,CL,1707550748
38,fortuna,40.5982,-124.1573,279.63,96,20,0.0,US,1707550748
39,grytviken,-54.2811,-36.5092,276.13,95,89,6.9,GS,1707550748
40,vorgashor,67.5833,63.95,248.49,93,100,7.18,RU,1707550748
41,arica,-18.475,-70.3042,296.9,68,0,4.12,CL,1707550748
42,vilyuchinsk,52.9306,158.4028,264.3,81,16,4.69,RU,1707550748
43,badger,64.8,-147.5333,262.24,83,75,0.0,US,1707550749
44,kavaratti,10.5669,72.642,301.25,72,63,2.46,IN,1707550749
45,puerto ayora,-0.7393,-90.3518,299.01,98,43,3.01,EC,1707550749
46,walvis bay,-22.9575,14.5053,291.68,77,0,2.57,NA,1707550749
47,viedma,-40.8135,-62.9967,292.95,95,95,3.55,AR,1707550749
48,colonia,50.9333,6.95,283.01,89,0,3.09,DE,1707550749
49,malango,-2.9627,119.9001,298.25,95,100,1.45,ID,1707550749
50,ilulissat,69.2167,-51.1,260.16,47,71,5.66,GL,1707550749
51,sinabang,2.4803,96.3801,302.59,70,98,2.96,ID,1707550750
52,fomboni,-12.28,43.7425,301.78,78,100,4.94,KM,1707550750
53,toliara,-23.35,43.6667,305.15,59,7,4.52,MG,1707550750
54,rawson,-43.3002,-65.1023,292.44,58,100,5.75,AR,1707550750
55,ust-nera,64.5667,143.2,240.07,100,100,0.48,RU,1707550750
56,tangalle,6.024,80.7911,306.24,44,58,5.27,LK,1707550750
57,nagqu,31.5,92.0,266.69,17,0,3.28,CN,1707550751
58,uturoa,-16.7333,-151.4333,300.94,87,100,13.68,PF,1707550751
59,plastun,44.7561,136.2939,267.26,57,100,2.27,RU,1707550751
60,tabas,33.5959,56.9244,288.27,20,11,1.03,IR,1707550751
61,flying fish cove,-10.4217,105.6791,301.97,78,40,3.6,CX,1707550751
62,tiksi,71.6872,128.8694,247.1,100,100,1.21,RU,1707550751
63,deori,21.45,82.6167,304.38,16,0,0.04,IN,1707550751
64,takoradi,4.8845,-1.7554,301.85,74,21,1.25,GH,1707550752
65,longyearbyen,78.2186,15.6401,268.06,68,75,11.83,SJ,1707550752
66,tehuitzingo,16.9408,-99.1719,293.78,88,32,1.26,MX,1707550752
67,utrik,11.2278,169.8474,299.16,78,100,10.82,MH,1707550752
68,bredasdorp,-34.5322,20.0403,293.51,47,100,1.39,ZA,1707550752
69,karratha,-20.7377,116.8463,309.39,36,0,7.49,AU,1707550752
70,kismayo,-0.3582,42.5454,303.16,66,83,9.74,SO,1707550752
71,dogubayazit,39.5469,44.0842,274.78,76,6,1.02,TR,1707550753
72,peterhead,57.5058,-1.7981,276.37,97,100,14.63,GB,1707550753
73,mahajanga,-15.7167,46.3167,302.16,84,40,4.12,MG,1707550665
74,martapura,-3.4167,114.85,301.2,78,75,3.09,ID,1707550753
75,carnarvon,-24.8667,113.6333,299.25,76,0,6.3,AU,1707550754
76,sedan,49.6667,5.0,280.83,96,100,1.7,FR,1707550754
77,poronaysk,49.2167,143.1167,255.33,100,59,0.88,RU,1707550754
78,wailua homesteads,22.0669,-159.378,295.59,85,100,4.63,US,1707550754
79,st. john's,47.5649,-52.7093,269.81,94,100,4.63,CA,1707550524
80,hadibu,12.65,54.0333,298.72,75,48,7.08,YE,1707550754
81,kavieng,-2.5744,150.7967,301.95,76,100,6.07,PG,1707550754
82,chonchi,-42.6128,-73.8092,283.77,90,99,1.1,CL,1707550755
83,saint-yrieix-la-perche,45.516,1.2057,283.03,97,100,2.81,FR,1707550748
84,invercargill,-46.4,168.35,283.72,74,99,8.05,NZ,1707550755
85,thompson,55.7435,-97.8558,256.24,78,100,2.57,CA,1707550755
86,fale old settlement,-9.3852,-171.2468,301.81,82,100,6.67,TK,1707550755
87,kailua-kona,19.6406,-155.9956,297.13,85,100,0.0,US,1707550613
88,richards bay,-28.783,32.0377,298.37,78,97,8.89,ZA,1707550755
89,kotido,2.9806,34.1331,303.51,32,0,6.49,UG,1707550755
90,ribeira grande,38.5167,-28.7,290.8,100,75,8.23,PT,1707550756
91,wick,58.4333,-3.0833,276.18,87,100,15.43,GB,1707550756
92,tazacorte,28.629,-17.9293,292.69,98,20,3.13,ES,1707550756
93,chillicothe,39.3331,-82.9824,286.62,87,75,3.09,US,1707550756
94,benjamin constant,-4.3831,-70.0311,299.22,97,100,0.07,BR,1707550756
95,yellowknife,62.456,-114.3525,249.44,77,0,3.6,CA,1707550756
96,west island,-12.1568,96.8225,303.14,70,6,6.17,CC,1707550756
97,gadzhiyevo,69.2551,33.3362,259.18,89,100,2.86,RU,1707550757
98,pariaman,-0.619,100.12,303.18,80,87,2.27,ID,1707550757
99,smara,26.7384,-11.6719,291.75,89,100,5.15,EH,1707550757
100,matai,-8.3,31.5167,293.84,75,96,0.87,TZ,1707550757
101,lebu,-37.6167,-73.65,285.98,95,11,2.28,CL,1707550757
102,sawakin,19.1059,37.3321,298.19,66,33,2.81,SD,1707550757
103,hajin,34.6927,40.827,290.34,42,5,6.55,SY,1707550757
104,dudinka,69.4058,86.1778,252.41,79,100,4.47,RU,1707550758
105,margaret river,-33.95,115.0667,299.68,57,0,5.93,AU,1707550758
106,wainwright,52.839,-110.8572,258.87,97,31,1.72,CA,1707550758
107,klaksvik,62.2266,-6.589,276.66,57,100,12.72,FO,1707550758
108,gamay,12.3854,125.2979,300.33,70,16,4.39,PH,1707550758
109,las varillas,-31.8721,-62.7195,294.04,97,9,2.47,AR,1707550758
110,alo,7.4178,6.7371,303.11,41,21,1.27,NG,1707550759
111,atafu village,-8.5421,-172.5159,301.75,80,100,7.31,TK,1707550759
112,flin flon,54.7682,-101.865,259.02,98,91,1.63,CA,1707550759
113,port elizabeth,-33.918,25.5701,294.87,77,40,6.69,ZA,1707550614
114,hithadhoo,-0.6,73.0833,301.76,68,100,6.84,MV,1707550759
115,roxas,11.5853,122.7511,298.23,75,21,6.96,PH,1707550562
116,port saint john's,-31.6229,29.5448,297.89,49,23,9.03,ZA,1707550759
117,sumbe,-11.2061,13.8437,301.42,68,93,0.53,AO,1707550759
118,saipan,15.1355,145.701,301.54,65,40,8.75,MP,1707550760
119,port mathurin,-19.6833,63.4167,300.13,78,96,12.52,MU,1707550760
120,newnham,-41.3833,147.1333,295.68,40,0,7.2,AU,1707550760
121,constantia,44.1833,28.65,283.54,60,100,3.44,RO,1707550760
122,thouars,46.976,-0.2151,282.15,88,100,6.95,FR,1707550760
123,pathein,16.7833,94.7333,308.38,15,7,1.35,MM,1707550760
124,barcelos,41.5388,-8.6151,285.23,87,57,4.19,PT,1707550760
125,minas de marcona,-15.2119,-75.1103,292.34,84,99,4.29,PE,1707550761
126,quellon,-43.1167,-73.6167,284.24,94,100,1.53,CL,1707550761
127,burriana,39.889,-0.085,289.09,53,100,4.11,ES,1707550638
128,luba,3.4568,8.5547,300.09,70,85,0.27,GQ,1707550761
129,inhambane,-23.865,35.3833,303.14,74,20,4.12,MZ,1707550761
130,san rafael,-34.6177,-68.3301,293.27,92,97,5.15,AR,1707550761
131,labrador city,52.9463,-66.9114,270.1,97,100,4.63,CA,1707550761
132,kloulklubed,7.0419,134.2556,299.43,84,100,9.84,PW,1707550762
133,georgetown,5.4112,100.3354,307.11,66,20,5.66,MY,1707550762
134,berezovyy,51.6667,135.7,255.89,94,27,0.45,RU,1707550762
135,masterton,-40.9597,175.6575,289.32,62,100,2.45,NZ,1707550762
136,bandarbeyla,9.4942,50.8122,300.75,63,93,7.13,SO,1707550762
137,qaqortoq,60.7167,-46.0333,258.22,72,9,8.17,GL,1707550762
138,petropavlovsk-kamchatsky,53.0452,158.6483,263.48,41,0,3.0,RU,1707550762
139,yarmouth,41.7057,-70.2286,278.18,93,20,2.68,US,1707550763
140,jaru,-10.4389,-62.4664,297.04,96,100,0.38,BR,1707550501
141,mandalgovi,45.7625,106.2708,266.92,65,27,6.66,MN,1707550763
142,cidreira,-30.1811,-50.2056,297.5,89,43,8.44,BR,1707550763
143,sitka,57.0531,-135.33,280.09,76,100,4.63,US,1707550763
144,hawaiian paradise park,19.5933,-154.9731,294.28,94,100,1.54,US,1707550763
145,iqaluit,63.7506,-68.5145,242.42,67,40,0.0,CA,1707550763
146,korla,41.7597,86.1469,276.11,52,4,3.7,CN,1707550764
147,kourou,5.1552,-52.6478,300.18,88,92,4.12,GF,1707550764
148,hotan,37.0997,79.9269,279.18,35,0,2.03,CN,1707550764
149,weno,7.4515,151.8468,300.12,94,100,3.6,FM,1707550764
150,broken hill,-31.95,141.4333,305.34,19,0,5.62,AU,1707550690
151,severo-yeniseyskiy,60.3725,93.0408,268.47,91,100,2.68,RU,1707550764
152,manacapuru,-3.2997,-60.6206,297.98,92,100,1.59,BR,1707550764
153,andapa,-14.65,49.65,299.82,89,89,1.2,MG,1707550765
154,lautoka,-17.6167,177.4667,301.07,89,75,1.54,FJ,1707550765
155,las veredas,23.1388,-109.7075,290.99,84,100,0.45,MX,1707550765
156,spring creek,40.7266,-115.5859,268.98,88,90,0.5,US,1707550765
157,stanley,54.868,-1.6985,278.02,93,100,1.54,GB,1707550765
158,whakatane,-37.9585,176.9854,294.69,93,57,1.76,NZ,1707550765
159,bamboo flat,11.7,92.7167,303.2,66,20,4.63,IN,1707550765
160,nurmes,63.5421,29.1397,262.01,95,100,1.79,FI,1707550766
161,olonkinbyen,70.9221,-8.7187,270.2,68,85,6.08,SJ,1707550766
162,zagora,30.3484,-5.8365,287.49,51,100,3.77,MA,1707550766
163,howrah,22.5892,88.3103,297.15,41,1,5.14,IN,1707550766
164,enewetak,11.3474,162.3373,299.63,80,100,10.01,MH,1707550766
165,konarka,19.9,86.1167,300.37,32,0,3.64,IN,1707550766
166,praia da vitoria,38.7333,-27.0667,288.01,100,75,6.78,PT,1707550766
167,fort bragg,35.139,-79.006,286.94,87,100,3.6,US,1707550766
168,bam,29.106,58.357,291.64,14,0,2.61,IR,1707550767
169,la grande,45.3246,-118.0877,270.92,88,42,0.99,US,1707550767
170,upper grand lagoon,30.1633,-85.7408,291.23,97,100,1.54,US,1707550767
171,gaspe,48.8334,-64.4819,270.27,93,75,1.54,CA,1707550622
172,uzgen,40.7699,73.3007,284.31,47,65,2.09,KG,1707550767
173,puerto lempira,15.2667,-83.7667,295.82,80,17,2.78,HN,1707550767
174,usogorsk,63.4106,48.6872,257.88,97,99,2.82,RU,1707550767
175,maryborough,-25.5333,152.7,301.54,69,36,4.38,AU,1707550767
176,baijiantan,45.6333,85.1833,268.8,80,89,1.73,CN,1707550768
177,santiago de cao,-7.9589,-79.2392,298.22,78,89,2.06,PE,1707550768
178,portland,45.5234,-122.6762,280.28,94,100,3.09,US,1707550768
179,shache,38.4167,77.2406,279.1,25,0,0.97,CN,1707550768
180,callao,-12.0667,-77.15,297.99,88,20,4.63,PE,1707550768
181,nema,57.5067,50.5011,256.65,96,96,2.09,RU,1707550769
182,dauphin,51.1494,-100.0502,267.23,86,100,1.03,CA,1707550769
183,necochea,-38.5473,-58.7368,293.94,96,100,4.7,AR,1707550769
184,nyurba,63.2842,118.3319,247.93,97,100,1.7,RU,1707550769
185,harstad,68.799,16.5293,269.9,94,99,8.49,NO,1707550769
186,lihue,21.9789,-159.3672,295.92,84,100,4.63,US,1707550631
187,kruisfontein,-34.0033,24.7314,295.31,49,1,7.85,ZA,1707550769
188,guasdualito,7.2424,-70.7324,296.48,95,63,1.66,VE,1707550770
189,ancud,-41.8697,-73.8203,284.42,89,100,1.2,CL,1707550770
190,shatura,55.5725,39.5368,257.49,95,98,0.43,RU,1707550770
191,mugia,43.1041,-9.2179,283.24,64,74,12.52,ES,1707550770
192,namibe,-15.1961,12.1522,297.35,80,94,1.1,AO,1707550770
193,dwarka,22.2394,68.9678,295.34,55,0,5.51,IN,1707550770
194,puerto rico,-26.796,-55.024,294.91,90,100,0.87,AR,1707550770
195,new norfolk,-42.7826,147.0587,290.87,48,0,2.64,AU,1707550771
196,touros,-5.1989,-35.4608,300.78,79,19,8.32,BR,1707550771
197,yichun,47.7,128.9,263.17,84,100,4.29,CN,1707550771
198,zahedan,29.4963,60.8629,291.1,19,0,0.0,IR,1707550771
199,smedjebacken,60.1418,15.4142,263.66,99,100,2.01,SE,1707550771
200,kerikeri,-35.2268,173.9474,292.49,93,41,1.98,NZ,1707550771
201,ar ruways,24.1103,52.7306,291.72,62,4,2.6,AE,1707550771
202,visby,57.6409,18.296,272.61,86,75,7.2,SE,1707550772
203,bayburt,40.2589,40.2278,273.89,89,12,0.5,TR,1707550772
204,thunder bay,48.4001,-89.3168,269.14,80,100,4.12,CA,1707550772
205,najran,17.4924,44.1277,293.51,32,0,5.0,SA,1707550772
206,amboasary,-25.0333,46.3833,306.96,49,0,1.93,MG,1707550772
207,puerto deseado,-47.7503,-65.8938,289.27,52,100,7.35,AR,1707550772
208,nguigmi,14.2495,13.1092,295.42,14,0,2.59,NE,1707550772
209,remire-montjoly,4.9167,-52.2667,300.17,83,75,4.12,GF,1707550773
210,lamar,33.6668,-95.5836,289.1,90,40,1.54,US,1707550773
211,christchurch,-43.5333,172.6333,286.99,84,40,5.14,NZ,1707550733
212,olonets,60.9847,32.9698,256.01,100,100,1.92,RU,1707550773
213,namdrik,5.5994,168.1028,300.36,81,100,8.76,MH,1707550773
214,akureyri,65.6835,-18.0878,265.11,79,75,1.03,IS,1707550773
215,dhuusamarreeb,5.535,46.3861,304.2,36,7,9.12,SO,1707550774
216,el granada,37.5027,-122.4694,283.67,89,0,0.0,US,1707550774
217,marcala,14.15,-88.0333,287.35,63,6,1.81,HN,1707550774
218,maloye ganyushkino,46.6,49.2667,273.76,84,100,5.38,KZ,1707550774
219,san ignacio,17.1561,-89.0714,289.23,100,0,0.0,BZ,1707550774
220,morondava,-20.2833,44.2833,302.99,71,42,3.04,MG,1707550774
221,gobabis,-22.45,18.9667,302.61,24,29,4.28,NA,1707550775
222,gizo,-8.103,156.8419,300.57,83,100,6.29,SB,1707550775
223,mount isa,-20.7333,139.5,308.02,31,75,5.14,AU,1707550775
224,qingyuan,23.7,113.0333,293.14,39,0,3.25,CN,1707550579
225,nar'yan-mar,67.6713,53.087,250.43,99,73,3.58,RU,1707550775
226,kodiak,57.79,-152.4072,275.88,75,100,0.0,US,1707550775
227,clarinda,40.7419,-95.0383,276.16,75,75,5.66,US,1707550776
228,verkh-chebula,56.0308,87.6218,273.0,78,100,7.98,RU,1707550776
229,tannum sands,-23.9504,151.3693,303.09,58,0,9.77,AU,1707550776
230,fuling,29.7022,107.3919,289.04,41,0,1.86,CN,1707550776
231,selfoss,63.9331,-20.9971,260.95,75,86,4.12,IS,1707550776
232,queenstown,-31.8976,26.8753,293.72,37,3,3.15,ZA,1707550776
233,yongchuan,29.3514,105.8947,289.63,37,0,3.38,CN,1707550776
234,parsons,37.3403,-95.2611,281.19,66,100,5.98,US,1707550777
235,talara,-4.5772,-81.2719,298.58,88,100,4.8,PE,1707550777
236,afaahiti,-17.75,-149.2833,297.08,87,100,8.91,PF,1707550777
237,howard springs,-12.497,131.047,304.1,88,14,3.65,AU,1707550777
238,nova sintra,14.8667,-24.7167,293.63,70,0,10.02,CV,1707550777
239,san antonio de pale,-1.4014,5.6325,301.77,70,27,2.18,GQ,1707550777
240,gidole,5.65,37.3667,296.4,41,22,1.88,ET,1707550778
241,aykhal,66.0,111.5,241.31,100,89,0.86,RU,1707550778
242,san luis de la loma,17.2706,-100.8939,295.58,77,39,2.05,MX,1707550778
243,dhidhdhoo,6.8833,73.1,301.16,76,100,6.19,MV,1707550778
244,tuy hoa,13.0833,109.3,297.27,84,64,7.49,VN,1707550778
245,alaghsas,17.0187,8.0168,287.09,18,0,2.57,NE,1707550778
246,east london,-33.0153,27.9116,296.67,53,20,9.77,ZA,1707550779
247,udachny,66.4167,112.4,241.73,74,83,0.88,RU,1707550779
248,juan griego,11.0817,-63.9655,305.22,66,1,6.17,VE,1707550779
249,madera,37.1666,-119.8343,279.2,91,27,1.11,US,1707550779
250,hami,42.8,93.45,277.89,42,4,3.3,CN,1707550779
251,island harbour,50.724,-1.2758,282.55,95,100,0.45,GB,1707550779
252,silverdale,47.6445,-122.6949,278.41,95,96,0.92,US,1707550590
253,cabo san lucas,22.8909,-109.9124,291.35,65,100,1.34,MX,1707550514
254,alliance,40.9153,-81.1059,284.27,92,100,7.21,US,1707550780
255,rreshen,41.7675,19.8756,280.75,55,46,1.22,AL,1707550780
256,kirensk,57.7853,108.1119,267.02,94,100,4.02,RU,1707550780
257,inarajan village,13.2736,144.7484,301.69,82,100,8.7,GU,1707550780
258,yuzhno-kurilsk,44.0306,145.8556,268.91,66,100,2.78,RU,1707550780
259,baiti,13.745,-14.7482,297.75,13,0,2.99,SN,1707550780
260,alofi,-19.0595,-169.9187,300.09,89,99,4.63,NU,1707550780
261,glace bay,46.1969,-59.957,267.57,94,0,2.24,CA,1707550781
262,georgievka,49.3314,81.5761,272.38,77,100,9.7,KZ,1707550781
263,haiku-pauwela,20.9219,-156.3051,296.51,81,40,3.09,US,1707550781
264,lillehammer,61.1146,10.4674,259.4,97,100,0.86,NO,1707550781
265,pisco,-13.7,-76.2167,297.05,94,99,4.12,PE,1707550781
266,fada,9.5667,8.3,300.17,18,96,1.05,NG,1707550781
267,vila franca do campo,37.7167,-25.4333,288.38,97,100,3.47,PT,1707550782
268,port douglas,-16.4833,145.4667,300.41,80,92,2.45,AU,1707550764
